time|phrase|quote|title|author|ampm|score|keep
13:59|one of two|For I believed one of two other persons to have become possessed of it, and to have turned it to this cruel account.|Great Expectations|Charles Dickens|guess|4.0|
13:59|one of two|To be in the halting state of Mr Henry Gowan; to have left one of two powers in disgust; to want the necessary qualifications for finding promotion with another, and to be loitering moodily about on neutral ground, cursing both; is to be in a situation unwholesome for the mind, which time is not likely to improve.|Little Dorrit|Charles Dickens|guess|4.0|
13:59|one of two|He has grown grey in the service, is a gentleman, a favoured guest in the most exalted houses, and, above all, a man whose patriotism is beyond suspicion. He is one of two who have a key of the safe.|His last bow|Arthur Conan Doyle|guess|4.0|
13:59|One of two|One of two arrangements should certainly be made in these days: either let all speech-making on festive occasions be utterly tabooed and made as it were impossible; or else let those who are to exercise the privilege be first subjected to a competing examination before the civil-service examining commissioners.|Barchester Towers|Anthony Trollope|guess|4.0|
13:59|one of two|He must have been in expectation of one of two things; either that a vertical well was about to open under his feet, and thus allow him to continue his descent, or that some insurmountable obstacle would compel us to stop and go back by the road we had so long traveled.|A Journey to the Centre of the Earth|Jules Verne|guess|4.0|
13:59|one of two|Fatal declivity down which the most honest and the firmest as well as the most feeble and most vicious are drawn, and which ends in one of two holds, suicide or crime.|Les Misérables|Victor Hugo|guess|4.0|
13:59|one of two|"Yet," Homais went on, "one of two things; either she died in a state of grace (as the Church has it), and then she has no need of our prayers; or else she departed impertinent (that is, I believe, the ecclesiastical expression), and then - "|Madame Bovary|Gustave Flaubert|guess|4.0|
13:59|one of two|Putting her head on one side, Margaret then remarked, "To me one of two things is very clear; either God does not know his own mind about England and Germany, or else these do not know the mind of God."|Howards End|E. M. Forster|guess|4.0|
13:59|One of two|Mr. Bruff dismissed the man. "One of two things," he said to me.|The Moonstone|Wilkie Collins|guess|2.5|
13:59|one of two|Their faces seemed all with one of two expressions - a leaping exultation and energy or a grim resolution.|The war of the worlds|H. G. Wells|guess|2.0|
13:59|one of two|That Mr. Godfrey Ablewhite was entrusted with the care of a sum of twenty thousand pounds - as one of two Trustees for a young gentleman, who was still a minor in the year eighteen hundred and forty-eight.|The Moonstone|Wilkie Collins|guess|2.0|
