time|phrase|quote|title|author|ampm|score|keep
00:00|midnight|On the other hand, the face and manner of my patron had made an unpleasant impression upon me, and I could not think that his explanation of the fuller's-earth was sufficient to explain the necessity for my coming at midnight, and his extreme anxiety lest I should tell anyone of my errand.|The Adventures of Sherlock Holmes|Arthur Conan Doyle|explicit|5.0|
00:00|midnight|In silence we again drove for an interminable distance with the windows raised, until at last, just after midnight, the carriage pulled up.|The Memoirs of Sherlock Holmes|Arthur Conan Doyle|explicit|5.0|
00:00|midnight|Finally, it was not until after midnight that the four travelers were released at the entrance to Lord John Roxton's chambers in the Albany, and that the exuberant crowd, having sung 'They are Jolly Good Fellows' in chorus, concluded their program with 'God Save the King.'|The Lost World|Arthur Conan Doyle|explicit|5.0|
00:00|midnight|It had occurred towards midnight of the twelfth; and the spectroscope, to which he had at once resorted, indicated a mass of flaming gas, chiefly hydrogen, moving with an enormous velocity towards this earth.|The war of the worlds|H. G. Wells|explicit|5.0|
00:00|struck midnight|A reddish flash at the edge, the slightest projection of the outline just as the chronometer struck midnight; and at that I told Ogilvy and he took my place.|The war of the worlds|H. G. Wells|explicit|5.0|
00:00|midnight|Hundreds of observers saw the flame that night and the night after about midnight, and again the night after; and so for ten nights, a flame each night.|The war of the worlds|H. G. Wells|explicit|5.0|
00:00|midnight|A few seconds after midnight the crowd in the Chertsey road, Woking, saw a star fall from heaven into the pine woods to the northwest.|The war of the worlds|H. G. Wells|explicit|5.0|
00:00|midnight|The night was warm and still, and a little oppressive; the sound of guns continued intermittently, and after midnight there seemed to be sheet lightning in the south.|The war of the worlds|H. G. Wells|explicit|5.0|
00:00|midnight|He went to bed a little after midnight, and was awakened from lurid dreams in the small hours of Monday by the sound of door knockers, feet running in the street, distant drumming, and a clamour of bells.|The war of the worlds|H. G. Wells|explicit|5.0|
00:00|midnight|By midnight the blazing trees along the slopes of Richmond Park and the glare of Kingston Hill threw their light upon a network of black smoke, blotting out the whole valley of the Thames and extending as far as the eye could reach.|The war of the worlds|H. G. Wells|explicit|5.0|
00:00|midnight|All the railway lines north of the Thames and the South-Eastern people at Cannon Street had been warned by midnight on Sunday, and trains were being filled.|The war of the worlds|H. G. Wells|explicit|5.0|
00:00|midnight|Towards midnight our talk of London died away, and we stood side by side leaning over the bulwarks and staring dreamily over the silent, starlit sea, each pursuing his own thoughts.|The island of Doctor Moreau|H. G. Wells|explicit|5.0|
00:00|midnight|At midnight, then, I have to ask you to be alone in your consulting room, to admit with your own hand into the house a man who will present himself in my name, and to place in his hands the drawer that you will have brought with you from my cabinet.|The strange case of Dr. Jekyll and Mr. Hyde|Robert Louis Stevenson|explicit|5.0|
00:00|midnight|In that case, dear Lanyon, do my errand when it shall be most convenient for you in the course of the day; and once more expect my messenger at midnight.|The strange case of Dr. Jekyll and Mr. Hyde|Robert Louis Stevenson|explicit|5.0|
00:00|midnight|This gave me a sort of shock, for I suppose the general superstition about midnight was increased by my recent experiences.|Dracula|Bram Stoker|explicit|5.0|
00:00|midnight|The wind fell away entirely during the evening, and at midnight there was a dead calm, a sultry heat, and that prevailing intensity which, on the approach of thunder, affects persons of a sensitive nature.|Dracula|Bram Stoker|explicit|5.0|
00:00|midnight|A little after midnight came a strange sound from over the sea, and high overhead the air began to carry a strange, faint, hollow booming.|Dracula|Bram Stoker|explicit|5.0|
00:00|midnight|This morning the man on duty reported to me that a little after midnight he was restless and kept saying his prayers somewhat loudly.|Dracula|Bram Stoker|explicit|5.0|
00:00|midnight|A being whom I myself had formed, and endued with life, had met me at midnight among the precipices of an inaccessible mountain.|Frankenstein; or, the modern prometheus|Mary Wollstonecraft Shelley|explicit|5.0|
00:00|midnight|Leaving Joseph to explain matters, I ran to the children's room: their door was ajar, I saw they had never lain down, though it was past midnight; but they were calmer, and did not need me to console them.|Wuthering Heights|Emily Brontë|explicit|5.0|
00:00|midnight|He saw I knew nought about it, and he told how a gentleman and lady had stopped to have a horse's shoe fastened at a blacksmith's shop, two miles out of Gimmerton, not very long after midnight! and how the blacksmith's lass had got up to spy who they were: she knew them both directly.|Wuthering Heights|Emily Brontë|explicit|5.0|
00:00|tolled midnight|The clocks struck and the bells tolled midnight; people were leaving fast: the fête was over; the lamps were fading.|Villette|Charlotte Brontë|explicit|5.0|
00:00|midnight|Most certainly also they did not picture "Meess Lucie" otherwise engaged; and here we all three were taking our "ébats" in the fête-blazing park at midnight!|Villette|Charlotte Brontë|explicit|5.0|
00:00|midnight|The advancing hours make it strong: by midnight, all sleepless watchers hear and fear a wild south-west storm.|Villette|Charlotte Brontë|explicit|5.0|
00:00|midnight|The coach was taking her to York, farther away from home; but she did not learn that until she was set down in the old city at midnight.|The Mill on the Floss|George Eliot|explicit|5.0|
00:00|midnight|It was past midnight, and the rain was beating heavily against the window, driven with fitful force by the rushing, loud-moaning wind.|The Mill on the Floss|George Eliot|explicit|5.0|
00:00|midnight|When Godfrey Cass returned from Mrs. Osgood's party at midnight, he was not much surprised to learn that Dunsey had not come home.|Silas Marner|George Eliot|explicit|5.0|
00:00|midnight|This was the view of the case that Godfrey managed to keep before him pretty closely till midnight, and he went to sleep thinking that he had done with inward debating.|Silas Marner|George Eliot|explicit|5.0|
00:00|midnight|Thus she proceeded mile after mile, ascending and descending till she came to Bulbarrow, and about midnight looked from that height into the abyss of chaotic shade which was all that revealed itself of the vale on whose further side she was born.|Tess of the d'Urbervilles: A Pure Woman|Thomas Hardy|explicit|5.0|
00:00|midnight|It was about midnight when they went along the deserted streets, lighted fitfully by the few lamps, keeping off the pavement that it might not echo their footsteps.|Tess of the d'Urbervilles: A Pure Woman|Thomas Hardy|explicit|5.0|
00:00|midnight|By reason of the density of the interwoven foliage it was gloomy there at cloudless noontide, twilight in the evening, dark as midnight at dusk, and black as the ninth plague of Egypt at midnight.|Far from the Madding Crowd|Thomas Hardy|explicit|5.0|
